StarID,Name
661,Patrick Stewart
662,William Shatner
663,Malcolm McDowell
664,Clarence Williams III
665,Corbin Bernsen
666,Joe Torry
667,Willem Dafoe
668,Miranda Richardson
669,Rosemary Harris
670,Christopher Reeve
671,Linda Kozlowski
672,Brian Dennehy
673,Wallace Shawn
674,Phoebe Brand
675,George Gaynes
676,Peter Gallagher
677,Alison Elliott
678,Eddie Griffin
679,Joe Morton
680,Elijah Wood
681,Sandra Oh
682,Stephen Chang
683,Alannah Ong
684,Toni Collette
685,Rachel Griffiths
686,Bill Hunter
687,Schuyler Fisk
688,Bre Blair
689,Rachael Leigh Cook
690,Courteney Cox
691,Sean Young
692,Hugo Weaving
693,Guy Pearce
694,Terence Stamp
695,Stephen Dorff
696,Sheryl Lee
697,Ian Hart
698,Emmanuelle Seigner
699,Dianne Wiest
700,Jennifer Tilly
701,Anne Archer
702,Tina Majorino
703,Alfre Woodard
704,David Patrick Kelly
705,Brandon Lee
706,Michael Wincott
707,Rochelle Davis
708,Robert Wuhl
709,Lolita Davidovich
710,Robin Wright
711,Gary Sinise
712,Omar Epps
713,Kristy Swanson
714,Michael Rapaport
715,Luna Lauren Velez
716,Jon Seda
717,Tomas Melly
718,Saul Rubinek
719,Rosie Perez
720,Jason Scott Lee
721,Cary Elwes
722,Lena Headey
723,Leni Riefenstahl
724,Marlene Dietrich
725,Arnold Fanck
726,Matthew Broderick
727,Ruocheng Ying
728,Heather Langenkamp
729,Robert Englund
730,Jeff Davis
731,Cameron Diaz
732,Peter Riegert
733,James Garner
734,Campbell Scott
735,Priscilla Presley
736,George Kennedy
737,Michael Keaton
738,Janeane Garofalo
739,Lara Flynn Boyle
740,Macaulay Culkin
741,Edward Herrmann
742,John Larroquette
743,Mia Sara
744,Ron Silver
745,Jamie Lee Curtis
746,Brenda Fricker
747,Michael Gambon
748,Reese Witherspoon
749,Jake Busey
750,Charles S. Dutton
751,Jada Pinkett Smith
752,Gérard Depardieu
753,Fanny Ardant
754,Fabrice Luchini
755,Tura Satana
756,Haji
757,Lori Williams
758,Bokeem Woodbine
759,Raul Julia
760,Ming-Na Wen
761,Mario Van Peebles
762,Deborah Kara Unger
763,Nicholas Turturro
764,Anthony DeSando
765,Libby Langdon
766,Jürgen Prochnow
767,Julie Carmen
768,Luke Perry
769,James Rebhorn
770,Duane Martin
771,Tupac Shakur
772,Daniel Day-Lewis
773,Brendan Fraser
774,Charles Gitonga Maina
775,Yolanda Vazquez
776,Emilio Estevez
777,Taylor Nichols
778,Chris Eigeman
779,Tushka Bergen
780,Kelly Hunter
781,Diedrich Bader
782,Erika Eleniak
783,Jim Varney
784,Jon Tenney
785,Joey Travolta
786,Docs Keepin Time
787,James Remar
788,Suzy Amis
789,Mary McDonnell
790,Gabrielle Anwar
791,Meg Tilly
792,Terry Kinney
793,Sherilyn Fenn
794,Lillo Brancato
795,Chris Elliott
796,Ritch Brinkley
797,James Gammon
798,Jason Priestley
799,Gabriel Olds
800,Jerry O'Connell
801,Penelope Ann Miller
802,Dana Carvey
803,Valeria Golino
804,John Lithgow
805,Michael Rooker
806,Jane Curtin
807,Robert Knott
808,Jane March
809,Rubén Blades
810,Jason London
811,Wiley Wiggins
812,Matthew McConaughey
813,Pat Morita
814,Kate Nelligan
815,Leslie Cheung
816,Fengyi Zhang
817,Larry B. Scott
818,Mark Christopher Lawrence
819,Rusty Cundieff
820,Moira Kelly
821,James Caan
822,Joan Plowright
823,Anthony Higgins
824,Sean Nelson
825,Sela Ward
826,Jason Patric
827,Kim Basinger
828,Ted Danson
829,V.S. Brodie
830,Guinevere Turner
831,T. Wendy McMillan
832,Charlie Sheen
833,Lloyd Bridges
834,Kim Cattrall
835,Cynthia Stevenson
836,Tara Fitzgerald
837,Colm Meaney
838,Maria Conchita Alonso
839,Christopher Reid
840,Christopher Martin
841,David Edwards
842,Albert Brooks
843,Whittni Wright
844,Andy Dick
845,Pete Postlethwaite
846,Alison Crosbie
847,Suzzanne Douglas
848,RaéVen Kelly
849,Cuba Gooding Jr.
850,Laura Dern
851,Kathy Larson
852,Martin Raymond
853,Helen Slater
854,Tom Guiry
855,F. Murray Abraham
856,Art Carney
857,Christina Vidal
858,Paul Hogan
859,Beverly D'Angelo
860,Barbara Sukowa
861,Nick Stahl
862,Margaret Whitton
863,Jerry Adler
864,Tyrin Turner
865,June Kyoto Lu
866,Tatsuya Fuji
867,Eiko Matsuda
868,Aoi Nakajima
869,Tom Noonan
870,Lesley Sharp
871,Hilary Swank
872,Tilda Swinton
873,Quentin Crisp
874,Roberta Maxwell
875,Janet Jackson
876,Regina King
877,Eric Thal
878,Julie Warner
879,Brian Benben
880,Ned Beatty
881,Judy Davis
882,John Haycraft
883,Gregory Hines
884,Robert John Burke
885,Nancy Allen
886,Mario Machado
887,Richard Lewis
888,Roger Rees
889,Lena Olin
890,Wallace Wood
891,Daniel Pollock
892,Jacqueline McKenzie
893,Ashley Judd
894,Todd Field
895,Bentley Mitchum
896,Sean Astin
897,Jon Favreau
898,Cyril Collard
899,Carlos López
900,Max Pomeranc
901,Kate Maberly
902,Maggie Smith
903,Heydon Prowse
904,Kathleen Turner
905,Sam Waterston
906,Ricki Lake
907,Julian Fellowes
908,Ross Malinger
909,Tom Berenger
910,Rutger Hauer
911,Carla Gugino
912,Lane Smith
913,Mike Myers
914,Anthony LaPaglia
915,Dennis Farina
916,Nastassja Kinski
917,James Gandolfini
918,Colm Feore
919,Derek Keurvorst
920,Katya Ladan
921,Danny Elfman
922,Chris Sarandon
923,Catherine O'Hara
924,Sam Elliott
925,Kanin Howell
926,Heather Matarazzo
927,Christina Brucato
928,Victoria Davis
929,Renaud
930,Miou-Miou
931,William McNamara
932,Verónica Forqué
933,Kim Vithana
934,Jimmi Harkishin
935,Sarita Khajuria
936,Luke Edwards
937,Timothy Busfield
938,John Ashton
939,Paolo Villaggio
940,Isa Danieli
941,Gigio Morra
942,Jeremy Davies
943,Alberta Watson
944,Benjamin Hendrickson
945,Travis Tedford
946,Bug Hall
947,Brittany Ashton Holmes
948,Keith Carradine
949,Chelsea Field
950,Carlo Cecchi
951,Claudio Amendola
952,Phoebe Cates
953,Jim Broadbent
954,Wendy Hughes
955,Lily Tomlin
956,Tony Curtis
957,Susie Bright
958,Nanni Moretti
959,Renato Carpentieri
960,Giovanna Bozzolo
961,Shelley Long
962,Gary Cole
963,Christine Taylor
964,Scott Weinger
965,Linda Larkin
966,Linda Hamilton
967,Graham Greene
968,Lawrence A. Bonney
969,Adriana Caselotti
970,Harry Stockwell
971,Lucille La Verne
972,Paige O'Hara
973,Robby Benson
974,Jesse Corti
975,Dickie Jones
976,Christian Rub
977,Mel Blanc
